AUC_true,h_hist,mismatch,m_application,C_labels,max_labels_tested,Vmin,rho,robust_oracle_cap,status
0.7,0.6,-0.1,128,1024,4096,0.00101925725082198,0.501563346823814,0.184995635843959,finite_within_grid
0.7,0.6,-0.1,256,4096,4096,0.000508405460550405,0.710170443112847,0.0967616756812457,finite_within_grid
0.7,0.6,-0.1,512,Inf,4096,0.000253896939060056,1.0049372949197,0.0495220384150516,structurally_noncertifiable
0.7,0.625,-0.075,16,64,4096,0.00842804693534727,0.130817392126315,1,finite_within_grid
0.7,0.625,-0.075,32,128,4096,0.00413574091659609,0.186746425425407,0.847423561783949,finite_within_grid
0.7,0.625,-0.075,64,256,4096,0.00204829982052866,0.265358006814584,0.533877176296114,finite_within_grid
0.7,0.625,-0.075,128,512,4096,0.00101925725082198,0.37617251011786,0.306808485085639,finite_within_grid
0.7,0.625,-0.075,256,2048,4096,0.000508405460550405,0.532627832334635,0.165782439729586,finite_within_grid
0.7,0.625,-0.075,512,Inf,4096,0.000253896939060056,0.753702971189778,0.0863757067667358,safe_but_grid_censored
0.7,0.65,-0.0499999999999999,16,64,4096,0.00842804693534727,0.0872115947508768,1,finite_within_grid
0.7,0.65,-0.0499999999999999,32,128,4096,0.00413574091659609,0.124497616950271,1,finite_within_grid
0.7,0.65,-0.0499999999999999,64,128,4096,0.00204829982052866,0.176905337876389,0.900688125828338,finite_within_grid
0.7,0.65,-0.0499999999999999,128,256,4096,0.00101925725082198,0.250781673411907,0.579245663603546,finite_within_grid
0.7,0.65,-0.0499999999999999,256,1024,4096,0.000508405460550405,0.355085221556423,0.337989986534189,finite_within_grid
0.7,0.65,-0.0499999999999999,512,2048,4096,0.000253896939060056,0.502468647459852,0.184391024557887,finite_within_grid
0.7,0.675,-0.0249999999999999,16,64,4096,0.00842804693534727,0.0436057973754383,1,finite_within_grid
0.7,0.675,-0.0249999999999999,32,128,4096,0.00413574091659609,0.0622488084751355,1,finite_within_grid
0.7,0.675,-0.0249999999999999,64,128,4096,0.00204829982052866,0.0884526689381943,1,finite_within_grid
0.7,0.675,-0.0249999999999999,128,256,4096,0.00101925725082198,0.125390836705953,1,finite_within_grid
0.7,0.675,-0.0249999999999999,256,512,4096,0.000508405460550405,0.177542610778211,0.897129012072193,finite_within_grid
0.7,0.675,-0.0249999999999999,512,1024,4096,0.000253896939060056,0.251234323729925,0.577762710908037,finite_within_grid
0.7,0.7,0,16,64,4096,0.00842804693534727,0,1,finite_within_grid
0.7,0.7,0,32,64,4096,0.00413574091659609,0,1,finite_within_grid
0.7,0.7,0,64,128,4096,0.00204829982052866,0,1,finite_within_grid
0.7,0.7,0,128,256,4096,0.00101925725082198,0,1,finite_within_grid
0.7,0.7,0,256,512,4096,0.000508405460550405,0,1,finite_within_grid
0.7,0.7,0,512,1024,4096,0.000253896939060056,0,1,finite_within_grid
0.7,0.725,0.025,16,64,4096,0.00842804693534727,0.0436057973754385,1,finite_within_grid
0.7,0.725,0.025,32,64,4096,0.00413574091659609,0.0622488084751357,1,finite_within_grid
0.7,0.725,0.025,64,128,4096,0.00204829982052866,0.0884526689381947,1,finite_within_grid
0.7,0.725,0.025,128,256,4096,0.00101925725082198,0.125390836705954,1,finite_within_grid
0.7,0.725,0.025,256,512,4096,0.000508405460550405,0.177542610778212,0.897129012072189,finite_within_grid
0.7,0.725,0.025,512,1024,4096,0.000253896939060056,0.251234323729926,0.577762710908034,finite_within_grid
0.7,0.75,0.05,16,64,4096,0.00842804693534727,0.087211594750877,1,finite_within_grid
0.7,0.75,0.05,32,64,4096,0.00413574091659609,0.124497616950271,1,finite_within_grid
0.7,0.75,0.05,64,128,4096,0.00204829982052866,0.176905337876389,0.900688125828336,finite_within_grid
0.7,0.75,0.05,128,256,4096,0.00101925725082198,0.250781673411907,0.579245663603544,finite_within_grid
0.7,0.75,0.05,256,1024,4096,0.000508405460550405,0.355085221556424,0.337989986534188,finite_within_grid
0.7,0.75,0.05,512,2048,4096,0.000253896939060056,0.502468647459853,0.184391024557886,finite_within_grid
0.7,0.775,0.0750000000000001,16,64,4096,0.00842804693534727,0.130817392126315,1,finite_within_grid
0.7,0.775,0.0750000000000001,32,64,4096,0.00413574091659609,0.186746425425407,0.847423561783947,finite_within_grid
0.7,0.775,0.0750000000000001,64,128,4096,0.00204829982052866,0.265358006814584,0.533877176296113,finite_within_grid
0.7,0.775,0.0750000000000001,128,512,4096,0.00101925725082198,0.376172510117861,0.306808485085639,finite_within_grid
0.7,0.775,0.0750000000000001,256,1024,4096,0.000508405460550405,0.532627832334636,0.165782439729585,finite_within_grid
0.7,0.775,0.0750000000000001,512,Inf,4096,0.000253896939060056,0.753702971189779,0.0863757067667355,safe_but_grid_censored
0.7,0.8,0.1,16,64,4096,0.00842804693534727,0.174423189501754,0.914697793522679,finite_within_grid
0.7,0.8,0.1,32,128,4096,0.00413574091659609,0.248995233900543,0.585146677630532,finite_within_grid
0.7,0.8,0.1,64,256,4096,0.00204829982052866,0.353810675752779,0.34001474914139,finite_within_grid
0.7,0.8,0.1,128,512,4096,0.00101925725082198,0.501563346823814,0.184995635843958,finite_within_grid
0.7,0.8,0.1,256,4096,4096,0.000508405460550405,0.710170443112848,0.0967616756812455,finite_within_grid
0.7,0.8,0.1,512,Inf,4096,0.000253896939060056,1.00493729491971,0.0495220384150514,structurally_noncertifiable
0.75,0.65,-0.1,16,128,4096,0.00721888244504976,0.18846586914583,0.838484433364038,finite_within_grid
0.75,0.65,-0.1,32,128,4096,0.00353444342994237,0.269343921537211,0.522288699677608,finite_within_grid
